time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-09T03:50:21.892Z,51.9277,-178.0096,5,4.4,mb,75,32,0.032,0.57,us,us7000jidi,2023-03-27T03:42:31.040Z,,earthquake,3.19,1.89,0.062,75,reviewed,us,us
2023-03-08T23:01:48.630Z,19.17383333,-155.4973333,34.34,3.64,ml,45,101,,0.12,hv,hv73335657,2023-03-28T01:57:36.734Z,"3 km SSW of P?hala, Hawaii",earthquake,0.48,0.63,0.189421575,28,reviewed,hv,hv
2023-03-08T17:24:25.885Z,61.4849,-149.4493,44.9,3.8,ml,,,,0.7,ak,ak0233339thf,2023-03-16T09:21:33.128Z,"8 km ESE of Knik-Fairview, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-03-08T13:43:23.060Z,11.4068,141.4394,10,5.4,mww,87,47,3.99,0.58,us,us7000ji58,2023-03-30T13:53:27.127Z,"207 km NNE of Fais, Micronesia",earthquake,7.46,1.594,0.061,26,reviewed,us,us
2023-03-08T09:33:06.070Z,44.74033333,-117.2828333,4.92,3.11,ml,14,73,0.1134,0.43,uw,uw61901007,2023-03-22T05:12:33.040Z,"9 km WSW of Richland, Oregon",earthquake,0.86,1.53,0.189421786,9,reviewed,uw,uw
2023-03-08T07:33:09.652Z,-6.5224,154.9642,59.954,5.8,mww,72,35,3.625,0.84,us,us7000ji38,2023-03-09T07:36:11.759Z,"61 km WSW of Panguna, Papua New Guinea",earthquake,7.73,6.547,0.062,25,reviewed,us,us
2023-03-08T07:32:55.514Z,61.3291,-140.6057,10,4.5,mb,86,41,0.408,1.26,us,us7000ji35,2023-03-14T20:41:50.549Z,"124 km E of McCarthy, Alaska",earthquake,1.3,1.893,0.065,68,reviewed,us,us
2023-03-08T06:24:20.365Z,31.6662738,-104.3584941,6.131567383,3.6,ml,49,69,0.063503844,0.3,tx,tx2023erbw,2023-03-10T08:03:53.996Z,western Texas,earthquake,0.799667344,0.807080772,0.1,31,reviewed,tx,tx
2023-03-08T06:03:36.198Z,50.1317,157.4402,36.178,5.6,mww,132,62,2.985,1.14,us,us7000ji2e,2023-03-09T06:08:24.004Z,"111 km ESE of Severo-Kuril’sk, Russia",earthquake,8.22,1.586,0.049,40,reviewed,us,us
2023-03-08T04:01:47.425Z,60.1172,-153.4067,159.3,4.4,mb,,,,0.65,ak,ak02332veatd,2023-03-26T23:44:20.040Z,"51 km E of Port Alsworth, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-03-08T03:14:12.529Z,53.0996,-166.3872,22.522,2.7,ml,22,249,0.743,0.45,us,us7000ji1x,2023-03-14T18:27:12.657Z,"86 km S of Unalaska, Alaska",earthquake,6.28,15.307,0.105,12,reviewed,us,us
2023-03-07T20:31:29.060Z,-0.256,124.5363,45.443,5.4,mww,197,28,1.929,0.82,us,us7000jhz2,2023-03-08T20:35:10.906Z,"176 km S of Tomohon, Indonesia",earthquake,5.77,4.042,0.071,19,reviewed,us,us
2023-03-07T16:03:14.507Z,61.7796,-150.703,54.8,2.8,ml,,,,0.62,ak,ak02331f0iib,2023-03-13T21:51:40.123Z,"28 km NNW of Susitna, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2023-03-07T14:33:12.440Z,36.5941667,-121.2011667,9.29,3.8,ml,67,54,0.02576,0.08,nc,nc73856426,2023-03-20T05:25:57.301Z,"9km NW of Pinnacles, CA",earthquake,0.14,0.25,0.142,159,reviewed,nc,nc
2023-03-07T13:51:49.540Z,-3.1576,150.6188,9,5.9,mww,117,37,1.794,0.67,us,us7000jhw8,2023-03-13T21:02:20.146Z,"67 km SSW of Kavieng, Papua New Guinea",earthquake,8.49,1.815,0.062,25,reviewed,us,us
2023-03-07T13:12:10.721Z,54.6335,-159.7116,35,4.5,mb,132,89,1.347,0.75,us,us7000jhw4,2023-03-15T15:39:51.040Z,"93 km SSE of Sand Point, Alaska",earthquake,4.03,1.878,0.055,98,reviewed,us,us
2023-03-07T11:45:27.410Z,19.26566667,-155.3956667,31.36,3.23,ml,46,99,,0.13,hv,hv73335072,2023-03-09T20:20:16.830Z,"11 km NE of P?hala, Hawaii",earthquake,0.46,0.54,0.169897003,30,reviewed,hv,hv
